"sigma_het","EIR_equil","param_id","incidence_relapse_desired","incidence_relapse_all","incidence_recurrent","prop_relapse_desired","prop_relapse_all","prop_recurrent"
0,0.1,0,1.537,1.811,1.819,0.701,0.736,0.736
0,0.1,1,1.517,1.786,1.794,0.702,0.75,0.751
0,0.1,2,1.626,1.875,1.881,0.721,0.75,0.751
0,0.1,3,1.579,1.849,1.862,0.709,0.752,0.752
0,0.1,4,1.582,1.831,1.837,0.7,0.738,0.738
0,0.1,5,1.617,1.882,1.89,0.71,0.752,0.753
0,0.1,6,1.536,1.774,1.778,0.693,0.735,0.735
0,0.1,7,1.546,1.796,1.806,0.703,0.735,0.737
0,0.1,8,1.553,1.81,1.817,0.706,0.738,0.739
0,0.1,9,1.595,1.835,1.843,0.695,0.735,0.736
0,0.1,10,1.62,1.87,1.873,0.699,0.743,0.744
0,0.1,11,1.546,1.786,1.797,0.707,0.744,0.747
0,0.1,12,1.544,1.805,1.814,0.697,0.738,0.738
0,0.1,13,1.605,1.856,1.868,0.687,0.724,0.725
0,0.1,14,1.582,1.823,1.829,0.712,0.749,0.75
0,0.1,15,1.608,1.912,1.922,0.71,0.752,0.752
0,0.1,16,1.637,1.886,1.898,0.731,0.768,0.77
0,0.1,17,1.502,1.763,1.768,0.71,0.742,0.742
0,0.1,18,1.597,1.87,1.878,0.699,0.738,0.741
0,0.1,19,1.562,1.838,1.851,0.699,0.74,0.74
0,0.1,20,1.578,1.828,1.839,0.697,0.738,0.739
0,0.1,21,1.651,1.92,1.928,0.719,0.755,0.755
0,0.1,22,1.534,1.793,1.801,0.702,0.748,0.749
0,0.1,23,1.54,1.789,1.793,0.693,0.728,0.728
0,0.1,24,1.639,1.893,1.901,0.724,0.761,0.762
0,0.1,25,1.444,1.703,1.714,0.682,0.726,0.729
0,0.1,26,1.613,1.898,1.91,0.72,0.763,0.764
0,0.1,27,1.477,1.713,1.722,0.686,0.724,0.725
0,0.1,28,1.511,1.755,1.76,0.7,0.742,0.743
0,0.1,29,1.523,1.789,1.799,0.689,0.74,0.74
0,0.1,30,1.552,1.788,1.793,0.709,0.74,0.74
0,0.1,31,1.488,1.715,1.728,0.687,0.719,0.721
0,0.1,32,1.554,1.796,1.807,0.708,0.748,0.749
0,0.1,33,1.501,1.747,1.752,0.688,0.731,0.731
0,0.1,34,1.64,1.916,1.919,0.723,0.758,0.758
0,0.1,35,1.515,1.782,1.787,0.695,0.738,0.738
0,0.1,36,1.515,1.768,1.773,0.696,0.737,0.737
0,0.1,37,1.692,1.989,1.998,0.728,0.767,0.769
0,0.1,38,1.55,1.82,1.827,0.705,0.743,0.743
0,0.1,39,1.619,1.874,1.882,0.703,0.743,0.745
0,0.1,40,1.658,1.909,1.923,0.725,0.756,0.758
0,0.1,41,1.552,1.811,1.823,0.677,0.727,0.727
0,0.1,42,1.564,1.809,1.812,0.709,0.753,0.753
0,0.1,43,1.563,1.82,1.826,0.704,0.747,0.748
0,0.1,44,1.627,1.87,1.876,0.731,0.757,0.757
0,0.1,45,1.577,1.863,1.873,0.731,0.772,0.772
0,0.1,46,1.616,1.876,1.885,0.728,0.765,0.766
0,0.1,47,1.636,1.904,1.915,0.713,0.753,0.755
0,0.1,48,1.553,1.817,1.824,0.687,0.727,0.727
0,0.1,49,1.525,1.776,1.784,0.694,0.736,0.737
0,0.1,50,1.514,1.764,1.773,0.693,0.733,0.735
0,0.1,51,1.671,1.923,1.928,0.727,0.767,0.767
0,0.1,52,1.583,1.839,1.846,0.696,0.727,0.727
0,0.1,53,1.575,1.801,1.81,0.706,0.741,0.744
0,0.1,54,1.613,1.853,1.86,0.718,0.749,0.751
0,0.1,55,1.45,1.706,1.711,0.688,0.732,0.732
0,0.1,56,1.529,1.794,1.802,0.693,0.749,0.749
0,0.1,57,1.633,1.883,1.888,0.714,0.748,0.749
0,0.1,58,1.639,1.887,1.893,0.73,0.759,0.76
0,0.1,59,1.558,1.819,1.831,0.686,0.735,0.735
0,0.1,60,1.566,1.818,1.824,0.708,0.747,0.748
0,0.1,61,1.551,1.803,1.806,0.687,0.722,0.723
0,0.1,62,1.582,1.866,1.875,0.708,0.751,0.753
0,0.1,63,1.572,1.807,1.816,0.716,0.749,0.751
0,0.1,64,1.595,1.862,1.868,0.692,0.744,0.747
0,0.1,65,1.537,1.74,1.743,0.68,0.713,0.713
0,0.1,66,1.638,1.909,1.918,0.716,0.755,0.755
0,0.1,67,1.575,1.816,1.817,0.701,0.735,0.735
0,0.1,68,1.525,1.789,1.8,0.691,0.727,0.73
0,0.1,69,1.598,1.882,1.888,0.713,0.75,0.751
0,0.1,70,1.65,1.898,1.904,0.741,0.786,0.787
0,0.1,71,1.567,1.815,1.822,0.701,0.74,0.741
0,0.1,72,1.514,1.733,1.741,0.692,0.731,0.732
